date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:41	1037/1037	---M--	200	added ('OK')	text/html	etag:%224f098d4c4b9b69954b9a1721e947cf40%22	https://storage.googleapis.com/strangeloop2017/slide44.html	./storage.googleapis.com/strangeloop2017/slide44.html	(from )
22:26:42	1037/1037	---M--	200	added ('OK')	text/html	etag:%22d4b40ac610d51c268891028a5156018e%22	https://storage.googleapis.com/strangeloop2017/slide45.html	./storage.googleapis.com/strangeloop2017/slide45.html	(from )
22:26:43	1037/1037	---M--	200	added ('OK')	text/html	etag:%22d444f1e90243f156647aba4ec39e27ae%22	https://storage.googleapis.com/strangeloop2017/slide46.html	./storage.googleapis.com/strangeloop2017/slide46.html	(from )
22:26:44	1037/1037	---M--	200	added ('OK')	text/html	etag:%22e13a5b9bee4799695e621b43b92e742c%22	https://storage.googleapis.com/strangeloop2017/slide47.html	./storage.googleapis.com/strangeloop2017/slide47.html	(from )
22:26:45	1037/1037	---M--	200	added ('OK')	text/html	etag:%22c3f0ef0fcc8fcb25a2c0cb0ce0c3f58b%22	https://storage.googleapis.com/strangeloop2017/slide48.html	./storage.googleapis.com/strangeloop2017/slide48.html	(from )
22:26:46	1037/1037	---M--	200	added ('OK')	text/html	etag:%227356c8ee5fbd2ed897830b0c924b86d3%22	https://storage.googleapis.com/strangeloop2017/slide49.html	./storage.googleapis.com/strangeloop2017/slide49.html	(from )
22:26:47	1037/1037	---M--	200	added ('OK')	text/html	etag:%22aa4b3687e848de38e5c0d601bfc7959c%22	https://storage.googleapis.com/strangeloop2017/slide50.html	./storage.googleapis.com/strangeloop2017/slide50.html	(from )
22:26:48	1037/1037	---M--	200	added ('OK')	text/html	etag:%225a2bfdb22296c4e2c86845906121b460%22	https://storage.googleapis.com/strangeloop2017/slide51.html	./storage.googleapis.com/strangeloop2017/slide51.html	(from )
22:26:49	1037/1037	---M--	200	added ('OK')	text/html	etag:%22d8aa8823e7e046a7aab02b1d80299a7c%22	https://storage.googleapis.com/strangeloop2017/slide52.html	./storage.googleapis.com/strangeloop2017/slide52.html	(from )
22:26:50	3229/3229	---M--	200	added ('OK')	text/html	etag:%226697e670968bc54ff85abb2c22dfc9d7%22	https://storage.googleapis.com/strangeloop2017/slide53.html	./storage.googleapis.com/strangeloop2017/slide53.html	(from )
